monastic_order_adoptionist_rank_1_female;Donatus;Donatus;Donatus;;Donatus;;;;;;;;;x
monastic_order_adoptionist_rank_2_female;Oblatus;Oblatus;Oblatus;;Oblatus;;;;;;;;;x
monastic_order_adoptionist_rank_3_female;Commissus;Commissus;Commissus;;Commissus;;;;;;;;;x
monastic_order_adoptionist_rank_4_female;Conversus;Conversus;Conversus;;Conversus;;;;;;;;;x
monastic_order_adoptionist_rank_1_male;Donatus;Donatus;Donatus;;Donatus;;;;;;;;;x
monastic_order_adoptionist_rank_2_male;Oblatus;Oblatus;Oblatus;;Oblatus;;;;;;;;;x
monastic_order_adoptionist_rank_3_male;Commissus;Commissus;Commissus;;Commissus;;;;;;;;;x
monastic_order_adoptionist_rank_4_male;Conversus;Conversus;Conversus;;Conversus;;;;;;;;;x
monastic_order_adoptionist;The Adoptionist Order;Ordre des Bénédictins;Benediktinerorden;;La orden de san Benito;;;;;;;;;x
currency_name_monastic_order_adoptionist;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
monastic_order_adoptionist_desc;The Adoptionist Order, founded by archbishop Epilandus of Toledo, tuaght that Christ's human nature existed separately from His divine personhood. The purpose of this order is to promote these ideals and beliefs among its members.;;;;;;;;;x
monastic_order_adoptionist_leader_desc;The Conversus of the Adoptionist Order.;Le Conversus de l'Ordre des Bénédictins.;Der Conversus des Benediktinerordens.;;El conversus de la orden de san Benito.;;;;;;;;;x
monastic_order_apollinarist_rank_1_female;Archaria;Archaria;Archaria;;Acharia;;;;;;;;;x
monastic_order_apollinarist_rank_2_female;Rasophora;Rasophora;Rasophora;;Rasophora;;;;;;;;;x
monastic_order_apollinarist_rank_3_female;Stavrophora;Stavrophora;Stavrophora;;Staurophora;;;;;;;;;x
monastic_order_apollinarist_rank_4_female;Megaloscheme;Megaloscheme;Megaloscheme;;Gran esquema;;;;;;;;;x
monastic_order_apollinarist_rank_1_male;Archarios;Archarios;Archarios;;Acharios;;;;;;;;;x
monastic_order_apollinarist_rank_2_male;Rasophoros;Rasophoros;Rasophoros;;Rasophoros;;;;;;;;;x
monastic_order_apollinarist_rank_3_male;Stavrophoros;Stavrophoros;Stavrophoros;;Staurophoros;;;;;;;;;x
monastic_order_apollinarist_rank_4_male;Megaloschemos;Megaloschemos;Megaloschemos;;Gran esquema;;;;;;;;;x
monastic_order_apollinarist;The Apollinarist Order;Ordre des Bénédictins;Benediktinerorden;;La orden de san Benito;;;;;;;;;x
currency_name_monastic_order_apollinarist;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
monastic_order_apollinarist_desc;The Apollinarist Order, founded by Apollinaris of Laodicea, a bishop in Syria during the 4th Century. Apollinaris theorized that Jesus could not have had a human mind, but rather he had a human body and a divine mind. The purpose of this order is to promote these ideals and beliefs among its members.;;;;;;;;;x
monastic_order_apollinarist_leader_desc;The Megaloschemos of the Apollinarist Order.;Le Conversus de l'Ordre des Bénédictins.;Der Conversus des Benediktinerordens.;;El conversus de la orden de san Benito.;;;;;;;;;x
monastic_order_iconoclast_rank_1_female;Archaria;Archaria;Archaria;;Acharia;;;;;;;;;x
monastic_order_iconoclast_rank_2_female;Rasophora;Rasophora;Rasophora;;Rasophora;;;;;;;;;x
monastic_order_iconoclast_rank_3_female;Stavrophora;Stavrophora;Stavrophora;;Staurophora;;;;;;;;;x
monastic_order_iconoclast_rank_4_female;Megaloscheme;Megaloscheme;Megaloscheme;;Gran esquema;;;;;;;;;x
monastic_order_iconoclast_rank_1_male;Archarios;Archarios;Archarios;;Acharios;;;;;;;;;x
monastic_order_iconoclast_rank_2_male;Rasophoros;Rasophoros;Rasophoros;;Rasophoros;;;;;;;;;x
monastic_order_iconoclast_rank_3_male;Stavrophoros;Stavrophoros;Stavrophoros;;Staurophoros;;;;;;;;;x
monastic_order_iconoclast_rank_4_male;Megaloschemos;Megaloschemos;Megaloschemos;;Gran esquema;;;;;;;;;x
monastic_order_iconoclast;The Iconoclast Order;Ordre des Bénédictins;Benediktinerorden;;La orden de san Benito;;;;;;;;;x
currency_name_monastic_order_iconoclast;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
monastic_order_iconoclast_desc;The Iconoclast Order, founded in the early 9th century, follows the belief that any depictions of Jesus Christ would be flawed, either by depicting Him as a purely physical being, or confusing His two natures as both God and Man. The purpose of this order is to promote these ideals and beliefs among its members.;;;;;;;;;x
monastic_order_iconoclast_leader_desc;The Megaloschemos of the Iconoclast Order.;Le Conversus de l'Ordre des Bénédictins.;Der Conversus des Benediktinerordens.;;El conversus de la orden de san Benito.;;;;;;;;;x
monastic_order_melkite_rank_1_female;Archaria;Archaria;Archaria;;Acharia;;;;;;;;;x
monastic_order_melkite_rank_2_female;Rasophora;Rasophora;Rasophora;;Rasophora;;;;;;;;;x
monastic_order_melkite_rank_3_female;Stavrophora;Stavrophora;Stavrophora;;Staurophora;;;;;;;;;x
monastic_order_melkite_rank_4_female;Megaloscheme;Megaloscheme;Megaloscheme;;Gran esquema;;;;;;;;;x
monastic_order_melkite_rank_1_male;Archarios;Archarios;Archarios;;Acharios;;;;;;;;;x
monastic_order_melkite_rank_2_male;Rasophoros;Rasophoros;Rasophoros;;Rasophoros;;;;;;;;;x
monastic_order_melkite_rank_3_male;Stavrophoros;Stavrophoros;Stavrophoros;;Staurophoros;;;;;;;;;x
monastic_order_melkite_rank_4_male;Megaloschemos;Megaloschemos;Megaloschemos;;Gran esquema;;;;;;;;;x
monastic_order_melkite;The Melkite Order;Ordre des Bénédictins;Benediktinerorden;;La orden de san Benito;;;;;;;;;x
currency_name_monastic_order_melkite;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
monastic_order_melkite_desc;The Melkite Order follows the belief that Melkites are the "original" Christians, and that the rest of Christianity has followed to close to the power of the Pope and Patriach. The purpose of this order is to promote these ideals and beliefs among its members.;;;;;;;;;x
