likes_byzantine;Hellenic;;;;;;;;;;;x
likes_latin;Latin;;;;;;;;;;;x
likes_iranian;Iranian;;;;;;;;;;;x
likes_arabic;Semitic;;;;;;;;;;;x
likes_berberic;Berberic;;;;;;;;;;;x
likes_caucasian;Caucasian;;;;;;;;;;;x
likes_north_germanic;North Germanic;;;;;;;;;;;x
likes_central_germanic;Central Germanic;;;;;;;;;;;x
likes_west_germanic;West Germanic;;;;;;;;;;;x
likes_celtic;Celtic;;;;;;;;;;;x
likes_altaic;Altaic;;;;;;;;;;;x
likes_bantu;Bantu;;;;;;;;;;;x
likes_nilo_saharan;Nilo-Saharan;;;;;;;;;;;x
likes_congo_nigerian;Congo-Nigerian;;;;;;;;;;;x
likes_ethiopic;Ethiopic;;;;;;;;;;;x
likes_east_slavic;East Slavic;;;;;;;;;;;x
likes_west_slavic;West Slavic;;;;;;;;;;;x
likes_south_slavic;South Slavic;;;;;;;;;;;x
likes_finno_ugric;Finno-Ugric;;;;;;;;;;;x
likes_baltic;Baltic;;;;;;;;;;;x
likes_iberian;Iberian;;;;;;;;;;;x
likes_indoaryan;Indo-Aryan;;;;;;;;;;;x
likes_dravidian;Dravidian;;;;;;;;;;;x
likes_chinese;Sinitic;;;;;;;;;;;x
likes_mesoamerican;Mesoamerican;;;;;;;;;;;x
likes_inuit;Inuit;;;;;;;;;;;x
likes_austronesian;Austronesian;;;;;;;;;;;x
likes_abrahamic;Abrahamic;;;;;;;;;;;x
likes_anatolian;Anatolian;;;;;;;;;;;x
likes_east_african;Eastern African;;;;;;;;;;;x
likes_arabpagan;Arabo-Sabaean;;;;;;;;;;;;;x
likes_aztec;Mesoamerican;;;;;;;;;;;x
likes_pagan;Indo-European;;;;;;;;;;;x
likes_baltic;Baltic;;;;;;;;;;;x
likes_bantu;Bantu;;;;;;;;;;;x
likes_berberpagan;Amazigh;;;;;;;;;;;x
likes_bud;Buddhist;;;;;;;;;;;x
likes_celtic;Celtic;;;;;;;;;;;x
likes_chinese;Chinese;;;;;;;;;;;x
likes_norsegerman;Germanic;;;;;;;;;;;x
likes_christian;Christian;;;;;;;;;;;x
likes_egyptian;Ancient Egyptian;;;;;;;;;;;x
likes_finnish;Finnic;;;;;;;;;;;x
likes_graecoroman;Graeco-Roman;;;;;;;;;;;x
likes_indian;Indian;;;;;;;;;;;x
likes_indohelen;Indo-Hellenic;;;;;;;;;;;x
likes_inuit;Inuit;;;;;;;;;;;x
likes_jewish;Jewish;;;;;;;;;;;x
likes_luwian;Hittite;;;;;;;;;;;x
likes_mand;Mandaean;;;;;;;;;;;x
likes_mani;Manichaean;;;;;;;;;;;x
likes_mithra;Mithraic;;;;;;;;;;;x
likes_muslim;Islamic;;;;;;;;;;;x
likes_neoplato;Neoplatonic;;;;;;;;;;;x
likes_palmyranpagan;Canaanite;;;;;;;;;;;
likes_serer;Western African;;;;;;;;;;;x
likes_slavic;Slavic;;;;;;;;;;;x
likes_sol;Solar;;;;;;;;;;;x
likes_tengri;Turkic;;;;;;;;;;;x
likes_yazd;Kurdish;;;;;;;;;;;x
likes_zal;Zalmoxian;;;;;;;;;;;x
likes_zoroastrian;Zoroastrian;;;;;;;;;;;x
dislikes_byzantine;Hellenic;;;;;;;;;;;x
dislikes_latin;Latin;;;;;;;;;;;x
dislikes_iranian;Iranian;;;;;;;;;;;x
dislikes_arabic;Semitic;;;;;;;;;;;x
dislikes_berberic;Berberic;;;;;;;;;;;x
dislikes_caucasian;Caucasian;;;;;;;;;;;x
dislikes_north_germanic;North Germanic;;;;;;;;;;;x
dislikes_central_germanic;Central Germanic;;;;;;;;;;;x
dislikes_west_germanic;West Germanic;;;;;;;;;;;x
dislikes_celtic;Celtic;;;;;;;;;;;x
dislikes_altaic;Altaic;;;;;;;;;;;x
dislikes_bantu;Bantu;;;;;;;;;;;x
dislikes_nilo_saharan;Nilo-Saharan;;;;;;;;;;;x
dislikes_congo_nigerian;Congo-Nigerian;;;;;;;;;;;x
dislikes_ethiopic;Ethiopic;;;;;;;;;;;x
dislikes_east_slavic;East Slavic;;;;;;;;;;;x
dislikes_west_slavic;West Slavic;;;;;;;;;;;x
dislikes_south_slavic;South Slavic;;;;;;;;;;;x
dislikes_finno_ugric;Finno-Ugric;;;;;;;;;;;x
dislikes_baltic;Baltic;;;;;;;;;;;x
dislikes_iberian;Iberian;;;;;;;;;;;x
dislikes_indoaryan;Indo-Aryan;;;;;;;;;;;x
dislikes_dravidian;Dravidian;;;;;;;;;;;x
dislikes_chinese;Sinitic;;;;;;;;;;;x
dislikes_mesoamerican;Mesoamerican;;;;;;;;;;;x
dislikes_inuit;Inuit;;;;;;;;;;;x
dislikes_austronesian;Austronesian;;;;;;;;;;;x
dislikes_abrahamic;Abrahamic;;;;;;;;;;;x
dislikes_anatolian;Anatolian;;;;;;;;;;;x
dislikes_east_african;Eastern African;;;;;;;;;;;x
dislikes_arabpagan;Arabo-Sabaean;;;;;;;;;;;;;x
dislikes_aztec;Mesoamerican;;;;;;;;;;;x
dislikes_pagan;Indo-European;;;;;;;;;;;x
dislikes_baltic;Baltic;;;;;;;;;;;x
dislikes_bantu;Bantu;;;;;;;;;;;x
dislikes_berberpagan;Amazigh;;;;;;;;;;;x
dislikes_bud;Buddhist;;;;;;;;;;;x
dislikes_celtic;Celtic;;;;;;;;;;;x
dislikes_chinese;Chinese;;;;;;;;;;;x
dislikes_norsegerman;Germanic;;;;;;;;;;;x
dislikes_christian;Christian;;;;;;;;;;;x
dislikes_egyptian;Ancient Egyptian;;;;;;;;;;;x
dislikes_finnish;Finnic;;;;;;;;;;;x
dislikes_graecoroman;Graeco-Roman;;;;;;;;;;;x
dislikes_indian;Indian;;;;;;;;;;;x
dislikes_indohelen;Indo-Hellenic;;;;;;;;;;;x
dislikes_inuit;Inuit;;;;;;;;;;;x
dislikes_jewish;Jewish;;;;;;;;;;;x
dislikes_luwian;Hittite;;;;;;;;;;;x
dislikes_mand;Mandaean;;;;;;;;;;;x
dislikes_mani;Manichaean;;;;;;;;;;;x
dislikes_mithra;Mithraic;;;;;;;;;;;x
dislikes_muslim;Islamic;;;;;;;;;;;x
dislikes_neoplato;Neoplatonic;;;;;;;;;;;x
dislikes_palmyranpagan;Canaanite;;;;;;;;;;;
dislikes_serer;Western African;;;;;;;;;;;x
dislikes_slavic;Slavic;;;;;;;;;;;x
dislikes_sol;Solar;;;;;;;;;;;x
dislikes_tengri;Turkic;;;;;;;;;;;x
dislikes_yazd;Kurdish;;;;;;;;;;;x
dislikes_zal;Zalmoxian;;;;;;;;;;;x
dislikes_zoroastrian;Zoroastrian;;;;;;;;;;;x
