fort_fort_1;Fort level 1;;;;;;;;;;;x
fort_fort_1_desc;Fort level 1;;;;;;;;;;;x
fort_fort_2;Fort level 1;;;;;;;;;;;x
fort_fort_2_desc;Fort level 2;;;;;;;;;;;x
fort_fort_3;Fort level 3;;;;;;;;;;;x
fort_fort_3_desc;Fort level 3;;;;;;;;;;;x
fort_fort_4;Fort level 4;;;;;;;;;;;x
fort_fort_4_desc;Fort level 4;;;;;;;;;;;x
fort_fort_5;Fort level 5;;;;;;;;;;;x
fort_fort_5_desc;Fort level 5;;;;;;;;;;;x
fort_fort_6;Fort level 6;;;;;;;;;;;x
fort_fort_6_desc;Fort level 6;;;;;;;;;;;x
fort_fort_7;Fort level 7;;;;;;;;;;;x
fort_fort_7_desc;Fort level 7;;;;;;;;;;;x
fort_fort_8;Fort level 8;;;;;;;;;;;x
fort_fort_8_desc;Fort level 8;;;;;;;;;;;x
fort_garrison_1;Garrison level 1;;;;;;;;;;;x
fort_garrison_1_desc;Garrison level 1;;;;;;;;;;;x
fort_garrison_2;Garrison level 1;;;;;;;;;;;x
fort_garrison_2_desc;Garrison level 2;;;;;;;;;;;x
fort_garrison_3;Garrison level 3;;;;;;;;;;;x
fort_garrison_3_desc;Garrison level 3;;;;;;;;;;;x
fort_garrison_4;Garrison level 4;;;;;;;;;;;x
fort_garrison_4_desc;Garrison level 4;;;;;;;;;;;x
fort_garrison_5;Garrison level 5;;;;;;;;;;;x
fort_garrison_5_desc;Garrison level 5;;;;;;;;;;;x
fort_garrison_6;Garrison level 6;;;;;;;;;;;x
fort_garrison_6_desc;Garrison level 6;;;;;;;;;;;x
fort_garrison_7;Garrison level 7;;;;;;;;;;;x
fort_garrison_7_desc;Garrison level 7;;;;;;;;;;;x
fort_garrison_8;Garrison level 8;;;;;;;;;;;x
fort_garrison_8_desc;Garrison level 8;;;;;;;;;;;x
