#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
opinion_favourite;My Favourite Child;Mon enfant préféré;;;;;;;;;;;;x
opinion_tough_love;No Blood Relations;Non lié par le sang;;;;;;;;;;;;x
opinion_adoption_rejected;Feels Rejected;Se sent rejeté;;;;;;;;;;;;x
opinion_adoption_gratefulone;Loving Child;Enfant affectueux;;;;;;;;;;;;x
opinion_adoption_gratefultwo;Grateful and Loving Child;Enfant reconnaissants et affectueux;;;;;;;;;;;;x
opinion_adoption_gratefulthree;Very Grateful and Loving Child;Enfant très reconnaissants et affectueux;;;;;;;;;;;;x
opinion_full_of_love;Loving Mother;Mère aimante;;;;;;;;;;;;x
opinion_mutual_enemy;Fighting Mutual Enemy;Casser le serment vassalique;Vasallen-Vertrag gebrochen;;;;;;;;;;;x
opinion_fears_tyranny;Fearful of Liege;;;;;;;;;;;;;x
opinion_suspect_tyranny;Suspicious of Liege;;;;;;;;;;;;;x
opinion_fears_tyrannyten;Fearful of Liege;;;;;;;;;;;;;x
opinion_suspect_tyrannyten;Suspicious of Liege;;;;;;;;;;;;;x
opinion_suspect_tyrannytwelve;Suspicious of Liege;;;;;;;;;;;;;x
opinion_fears_tyrannyfifteen;Very Fearful of Liege;;;;;;;;;;;;;x
opinion_suspect_tyrannyfifteen;Very Suspicious of Liege;;;;;;;;;;;;;x
opinion_suspect_tyrannytwenty;Very Suspicious of Liege;;;;;;;;;;;;;x
opinion_loyalty_bought;Loyalty Bought;Fidélité Achetée;;;;;;;;;;;;x
opinion_bribe_rejected;Bribe Rejected;A Rejeté Pot de Vin ;;;;;;;;;;;;x
opinion_loyal;Your Agent;Your Agent;;;;;;;;;;;;x
opinion_rejected_approach;Rejected approach;A Rejeté Approche;;;;;;;;;;;;x
opinion_resentful_ransom;Ransom Offer Refused by Host;;;;;;;;;;;;;x
opinion_respectful_ransom;Ransom Offer Accepted by Host;;;;;;;;;;;;;x
opinion_relieved_ransom;Regained Freedom;;;;;;;;;;;;;x
opinion_displeased_ransom;Ransom Denied by Liege;;;;;;;;;;;;;x
opinion_wounded;Wounded by Ruler;;;;;;;;;;;;;x
opinion_offered_help;Offered Friendly Advice;;;;;;;;;;;;;x
opinion_friendly_towards;Friendly Towards Ruler;;;;;;;;;;;;;x
