#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,,,,,,;;;;;;;;;;;;;;;;
good_harass_tactic; Devestating Harass Tactic;Tactique de harassement dévastatrice;x;x;;;;;;;;;x;xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,,,,,,;;;;;;;;;;;;;;;;;;;
harass_tactic; Harass Tactic;Tactique de harassement dévastatrice;x;x;;;;;;;;;x;xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,,,,,,;;;;;;;;;;;;;;;;;;;
bad_harass_tactic; Failed Harass Tactic;Echec de la tactique de harasssement ;x;x;;;;;;;;;x;xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,,,,,,;;;;;;;;;;;;;;;;;;;
good_volley_tactic; Devestating Volley Tactic;Volée dévastatrice;x;x;;;;;;;;;x;xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,,,,,,;;;;;;;;;;;;;;;;;;;
volley_tactic; Volley Tactic;Volée dévastatrice;x;x;;;;;;;;;x;xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,,,,,,;;;;;;;;;;;;;;;;;;;
bad_volley_tactic; Failed Volley Tactic;Echec de la volée;x;x;;;;;;;;;x;xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,,,,,,;;;;;;;;;;;;;;;;;;;
good_swarm_tactic; Devestating Swarm Tactic;x;x;x;;;;;;;;;x;xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,,,,,,;;;;;;;;;;;;;;;;;;;
swarm_tactic; Swarm Tactic;x;x;x;;;;;;;;;x;xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,,,,,,;;;;;;;;;;;;;;;;;;;
bad_swarm_tactic; Failed Swarm Tactic;x;;;;;;;;;;;;x
shieldwall_tactic; Shieldwall Tactic;x;x;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
bad_shieldwall_tactic; Failed Shieldwall Tactic;x;x;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
good_charge_tactic; Devestating Charge Tactic;x;x;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
charge_tactic; Charge Tactic;x;x;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
bad_charge_tactic; Failed Charge Tactic;x;x;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
good_melee_charge_tactic; Devestating Charge Tactic;x;x;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
melee_charge_tactic; Charge Tactic;x;x;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
bad_melee_charge_tactic; Failed Charge Tactic;x;x;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
good_raid_tactic; Devestating Raid Tactic;x;x;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
raid_tactic; Raid Tactic;x;x;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
bad_raid_tactic; Failed Raid Tactic;x;x;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
good_advance_tactic; Devestating Advance Tactic;x;x;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
advance_tactic; Advance Tactic;x;x;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
