#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#;;;;;;;;;;;;;;;
HERO_RELIGION;Heroic Religion;;;;;;;;;;;;;x
HERO_RELIGION_HOME_TERRITORY;Heroic Religion in Home Territory;;;;;;;;;;;;;x
GOD_ANGUS;Angus mac Og;;;;;;;;;;;;;x
GOD_DAGHDA;The Daghda;;;;;;;;;;;;;x
GOD_MANANNAN;Manannan mac Lir;;;;;;;;;;;;;x
GOD_LUGH;Lugh;;;;;;;;;;;;;x
#GOD_MACHA;Macha;;;;;;;;;;;;;x
GOD_DANA;Dana;;;;;;;;;;;;;x
GOD_NUADA;Nuada;;;;;;;;;;;;;x
#THE_STONES;The Sacred Stones;;;;;;;;;;;;;x
#THE_BALLADS;The Ballads;;;;;;;;;;;;;x
#DRUID;Druid;;;;;;;;;;;;;x
#THE_FOMORIANS;The Fomorians;;;;;;;;;;;;;;;;x
EVIL_BALOR;Balor;;;;;;;;;;;;;;;x
EVIL_BRES;Bres;;;;;;;;;;;;;x
#GOD_CAILLEACH;Cailleach;;;;;;;;;;;x
d_druidic_reformed;The Circle of Druids;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
ARCH_DRUID;Myrdynn;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
ARCH_DRUID_female;Dryad;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
ARCH_DRUID_FOA;Eldest of the Druids;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
#;;;;;;;;;;;;;;
temple_baron_druidic_reformed;Druid;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
temple_barony_of_druidic_reformed;Sacred Grove of;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
temple_count_druidic_reformed;Druid;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
temple_county_of_druidic_reformed;Temple of;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
temple_duke_druidic_reformed;Head Druid;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
temple_duchy_of_druidic_reformed;Tribe of;Tribu de;Stamm der;;Tribu de;;;;;;;;;x
temple_king_druidic_reformed;Archdruid;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
temple_kingdom_of_druidic_reformed;Federation of;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
temple_emperor_druidic_reformed;Myrdynn;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
temple_empire_of_druidic_reformed;Nation of;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
#;;;;;;;;;;;;;;;
job_spiritual_druidic_reformed;Seer;Voyant;Seher;;Vidente;;;;;;;;;x
city_job_spiritual_druidic_reformed;Seer;Voyant;Seher;;Vidente;;;;;;;;;x
#;;;;;;;;;;;;;;
baron_druidic;Chief;Chef;GERMAN;;Señor;;;;;;;;;x
baron_female_druidic;Chieftess;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
barony_of_druidic;Clan of;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
count_druidic;High Lord;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
count_female_druidic;High Lady;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
county_of_druidic;High Lordship of;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
duke_druidic;Prince;Prince;Prinz;;Príncipe;;;;;;;;;x
duke_female_druidic;Princess;Princesse;Prinzessin;;Princesa;;;;;;;;;x
duchy_of_druidic;Principality of;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
king_druidic;King;Roi;König;;Rey;;;;;;;;;x
king_female_druidic;Queen;Reine;Königin;;Reina;;;;;;;;;x
kingdom_of_druidic;Kingdom of;Royaume de;Königreich von;;Reino de;;;;;;;;;x
emperor_druidic;High King;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
emperor_female_druidic;High Queen;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
empire_of_druidic;High Kingdom of;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
#;;;;;;;;;;;;;
family_palace_baron_druidic;Elder;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
family_palace_baron_female_druidic;Lady;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
city_baron_druidic;Chief;Chef;Häuptling;;Mandatario;;;;;;;;;x
city_baron_female_druidic;Chieftess;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
city_count_druidic;High Chief;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
city_count_female_druidic;High Chieftess;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
city_duke_druidic;Prince;Prince;Prinz;;Príncipe;;;;;;;;;x
city_duke_female_druidic;Princess;Princesse;Prinzessin;;Princesa;;;;;;;;;x
city_duchy_of_druidic;Tribe of;Tribu de;Stamm der;;Tribu de;;;;;;;;;x
city_king_druidic;Grand Prince;Grand Prince;Grand Prinz;;Gran Príncipe;;;;;;;;;x
city_king_female_druidic;Grand Princess;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
city_kingdom_of_druidic;Federation of;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
city_emperor_druidic;Vergobret;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
city_emperor_female_druidic;Lady;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
city_empire_of_druidic;Nation of;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
#;;;;;;;;;;;;;
temple_baron_druidic;Druid;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
temple_barony_of_druidic;Sacred Grove of;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
temple_count_druidic;Druid;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
temple_county_of_druidic;Temple of;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
temple_duke_druidic;Head Druid;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
temple_duchy_of_druidic;Tribe of;Tribu de;Stamm der;;Tribu de;;;;;;;;;x
temple_king_druidic;Archdruid;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
temple_kingdom_of_druidic;Federation of;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
temple_emperor_druidic;Myrdynn;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
temple_empire_of_druidic;Nation of;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
#;;;;;;;;;;;;;
job_spiritual_druidic;Seer;Voyant;Seher;;Vidente;;;;;;;;;x
city_job_spiritual_druidic;Seer;Voyant;Seher;;Vidente;;;;;;;;;x
#;;;;;;;;;;;;;
title_pagan_wizard;Court Wizard;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
title_pagan_wizard_desc;An unwashed, mysterious pagan from the countryside, his powers are unclear, but they serve to appease the more occult worries of a ruler.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
title_royal_champion;Champion;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
title_royal_champion_desc;The best warrior of the land, the title of champion is a great honor among celtic peoples, their task is to protect their king.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
title_uchelwr;Uchelwr;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
title_uchelwr_desc;The Teulu (literally meaning "family") are strongly armed and mounted retainers. Known individually as Uchelwr, these upper class warriors favour red tunics, and dress for battle in a similar style to the frankish knights, although armed with lances, the Uchelwr's throw javelins.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
title_vates;Vates;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
title_vates_desc;The vates were one of three classes of Celtic priesthood, the other two being the druids and the bards. The Vates had the role of seers and performed sacrifices (in particular administering human sacrifice) under the presidence of a druid.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
