k_kashmir;Kashmir;Kashmir;Kashmir;Kashmir;Kashmir;Kashmir;Kashmir;Kashmir;Kashmir;Kashmir;Kashmir;Kashmir;Kashmir;x
k_kashmir_adj;Kashmir;Kashmir;Kashmir;Kashmir;Kashmir;Kashmir;Kashmir;Kashmir;Kashmir;Kashmir;Kashmir;Kashmir;Kashmir;x
d_srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;x
d_srinagara_adj;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;x
c_srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;x
c_srinagara_adj;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;x
b_srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;x
b_baramulla;Baramulla;Baramulla;Baramulla;Baramulla;Baramulla;Baramulla;Baramulla;Baramulla;Baramulla;Baramulla;Baramulla;Baramulla;Baramulla;x
b_kupwara;Kupwara;Kupwara;Kupwara;Kupwara;Kupwara;Kupwara;Kupwara;Kupwara;Kupwara;Kupwara;Kupwara;Kupwara;Kupwara;x
b_bandipore;Bandipore;Bandipore;Bandipore;Bandipore;Bandipore;Bandipore;Bandipore;Bandipore;Bandipore;Bandipore;Bandipore;Bandipore;Bandipore;x
b_anantnag;Anantnag;Anantnag;Anantnag;Anantnag;Anantnag;Anantnag;Anantnag;Anantnag;Anantnag;Anantnag;Anantnag;Anantnag;Anantnag;x
b_pahalgam;Pahalgam;Pahalgam;Pahalgam;Pahalgam;Pahalgam;Pahalgam;Pahalgam;Pahalgam;Pahalgam;Pahalgam;Pahalgam;Pahalgam;Pahalgam;x
