CHRONICLE_ACHIEVEMENT_VIKING_RAIDER;[GetDateText]: [From.GetTitledName] returned home from raiding with a fleet laden with over 1000 gold and was bestowed the Viking Raider achievement.;;;;;;;x
CHRONICLE_ACHIEVEMENT_DOGE_ELECT;[GetDateText]: [Root.GetTitledName] was elected to succeed [From.GetTitledName] and was bestowed the Doge Elect achievement.;;;;;;;x
CHRONICLE_ACHIEVEMENT_EMPRESSIVE;[GetDateText]: [Root.GetTitledName] was raised to the rank of Empress, a rank her mother and mother's mother had also held, and was bestowed the Empressive achievement.;;;;;;;x
CHRONICLE_ACHIEVEMENT_BLACK_WIDOW;[GetDateText]: [Root.GetTitledName] has killed three of her husbands, and has been bestowed the achievement Black Widow.;;;;;;;x
CHRONICLE_ACHIEVEMENT_TURBULENT_PRIEST;[GetDateText]: [Root.GetTitledName] was killed on the orders of [Root.GetHerHis] liege, [This.GetTitledName], who was bestowed the achievement Turbulent Priest.;;;;;;;x
CHRONICLE_ACHIEVEMENT_FULL_HOUSE;[GetDateText]: [This.GetTitledName] had [This.GetHerHis] fifth child, and was bestowed the achievement Full House.;;;;;;;x
CHRONICLE_ACHIEVEMENT_BLACK_BISHOP;[GetDateText]: [This.GetTitledName] has funded the election of the immoral [Root.GetTitledName], and was bestowed the achievement Black Bishop.;;;;;;;x
CHRONICLE_ACHIEVEMENT_IN_THE_FAMILY;[GetDateText]: [This.GetTitledName] had an inbred child, and was bestowed the achievement Keeping it in the Family.;;;;;;;x
CHRONICLE_ACHIEVEMENT_GET_MARRIED;[GetDateText]: [Root.GetTitledName] married [New.GetTitledName] and was bestowed the achievement §YThe Marriage Game§!.;;;;;;;x
CHRONICLE_ACHIEVEMENT_THE_BRITISH_RAJ;[GetDateText]: [Root.GetTitledName] ruled the Empire of Britannia while professing faith in an Indian religion, and was bestowed the achievement The British Raj.;;;;;;;x
CHRONICLE_ACHIEVEMENT_BEYOND_THE_INDUS;[GetDateText]: [Root.GetTitledName] ruled an Indian kingdom or empire while not being of Indian culture, and was bestowed the achievement Beyond the Indus.;;;;;;;x
CHRONICLE_ACHIEVEMENT_GREAT_INDIAN_SULTANATE;[GetDateText]: [Root.GetTitledName] ruled an Indian empire as a Muslim, and after converting all realm provinces within that de jure empire to Muslim was bestowed the achievement Great Indian Sultanate.;;;;;;;x
CHRONICLE_ACHIEVEMENT_SAINT_THOMAS_DREAM;[GetDateText]: [Root.GetTitledName] ruled an Indian kingdom or empire as a Christian, and after converting all realm provinces within that de jure realm to Christian was bestowed the achievement Saint Thomas' Dream.;;;;;;;x
CHRONICLE_ACHIEVEMENT_WHAT_SCHISM;[GetDateText]: [Root.GetTitledName] converted both Rome and Constantinople to an Indian faith, and was bestowed the achievement What Schism?;;;;;;;x
CHRONICLE_ACHIEVEMENT_RED_SEA_RESORT;[GetDateText]: [Root.GetTitledName] converted Mecca to an Indian faith, and was bestowed the achievement Red Sea Resort.;;;;;;;x
CHRONICLE_ACHIEVEMENT_LOOKING_EAST_AND_WEST;[GetDateText]: [Root.GetTitledName] ruled over both the Empire of Eranshahr and the Indian Empire, and was bestowed the achievement Looking East and West.;;;;;;;x
CHRONICLE_ACHIEVEMENT_MEDIEVAL_SCHLIEFFEN;[GetDateText]: [Root.GetTitledName] was simultaneously at war with the Aztecs and Mongols, and was bestowed the achievement Medieval Schlieffen.;;;;;;;x
CHRONICLE_ACHIEVEMENT_DESIDERATA;[GetDateText]: [From.GetTitledName] divorced the Lombard princess [Root.GetTitledName] and was bestowed the achievement I'm Sorry, Desiderata.;;;;;;;x
CHRONICLE_ACHIEVEMENT_CASANOVA;[GetDateText]: [Root.GetTitledName] seduced 10 people by targeted seduction, and was bestowed the achievement Casanova.;;;;;;;x
CHRONICLE_ACHIEVEMENT_MUDSLINGER;[GetDateText]: [Root.GetTitledName] successfully slandered 20 people, and was bestowed the achievement Mudslinger.;;;;;;;x
CHRONICLE_ACHIEVEMENT_BRING_IT_ON;[GetDateText]: [Root.GetTitledName] won 7 duels, and was bestowed the achievement Bring It On.;;;;;;;x
CHRONICLE_ACHIEVEMENT_FAMILY_BLISS;[GetDateText]: [Root.GetTitledName] was simultaneously friends with 6 close relatives, and was bestowed the achievement Family Bliss.;;;;;;;x
CHRONICLE_ACHIEVEMENT_SPOUSE_KILLER;[GetDateText]: [Root.GetTitledName] was killed on the orders of [Root.GetHerHis] [Root.GetHusbandWife] [This.GetTitledName], who was bestowed the achievement Until Death Do Us Part.;;;;;;;x
CHRONICLE_ACHIEVEMENT_NO_VASCO_DA_GAMA;[GetDateText]: [Root.GetTitledName] controlled all the Silk Road ports in India as a European merchant republic, and was bestowed the achievement Who Needs Vasco da Gama?;;;;;;;x
CHRONICLE_ACHIEVEMENT_PAX_MONGOLICA;[GetDateText]: [Root.GetTitledName] owned 3 trade posts on the Silk Road that are Major Silk Road Cities, and was bestowed the achievement Pax Mongolica.;;;;;;;x
CHRONICLE_ACHIEVEMENT_SWORD_PLOUGHSHARE;[GetDateText]: [Root.GetTitledName] allowed the mercenary captain [From.GetTitledName] to settle on [Root.GetHerHis] lands, and was bestowed the achievement Sword to Ploughshare.;;;;;;;x
ACHIEVEMENT;Achievement gained!;;;;;;;x
EVTDESCca.1;[Root.GetTitledName] has sailed into port with a fleet laden with over 1000 gold, earning the achievement §YViking Raider§!!;;;;;;;x
EVTOPTAca.1;A date to go down in history.;;;;;;;x
EVTOPTBca.1;Why should I care?;;;;;;;x
EVTDESCca.2;[Root.GetTitledName] has been elected to succeed [FromFrom.GetTitledName], earning the achievement §YMr. Doge Elect§!!;;;;;;;x
EVTDESCca.3;[Root.GetTitledName] has been crowned reigning Empress, a feat achieved by her mother [Root.Mother.GetTitledName] and grandmother [Root.Mother.Mother.GetTitledName] before her, earning the achievement §YEmpressive§!!;;;;;;;x
EVTDESCca.4;[Root.GetTitledName] has killed or arranged the death of three of her husbands, earning the achievement §YBlack Widow§!!;;;;;;;x
EVTDESCca.5;[Root.GetTitledName] has engineered the election of [From.GetTitledName] who is widely regarded as immoral, earning the achievement §YBlack Bishop§!!;;;;;;;x
EVTDESCca.6;[Root.GetTitledName] has arranged the death of his vassal bishop [From.GetTitledName], who paid more attention to the wishes of the Pope than of his liege, earning the achievement §YTurbulent Priest§!!;;;;;;;x
EVTDESCca.7;[Root.GetTitledName] has had [Root.GetHerHis] fifth child, earning the achievement §YFull House§!!;;;;;;;x
EVTDESCca.8;[Root.GetTitledName] has had a child born inbred, earning the achievement §YKeeping it in the Family§!!;;;;;;;x
EVTDESCca.10;[Root.GetTitledName] married [From.GetTitledName], earning the achievement §YThe Marriage Game§!!;;;;;;;x
EVTDESCca.11;[Root.GetTitledName] has ascended to the throne of the Empire of Britannia while being a [Root.Religion.GetName], earning the achievement §YBritish Raj§!!;;;;;;;x
EVTDESCca.12a;[Root.GetTitledName] has ascended to the throne of the Empire of India while being a [Root.Culture.GetName], earning the achievement §YBeyond the Indus§!!;;;;;;;x
EVTDESCca.12b;[Root.GetTitledName] has ascended to the throne of the Empire of Tamilakam while being a [Root.Culture.GetName], earning the achievement §YBeyond the Indus§!!;;;;;;;x
EVTDESCca.12c;[Root.GetTitledName] has ascended to the throne of the Deccan Empire while being a [Root.Culture.GetName], earning the achievement §YBeyond the Indus§!!;;;;;;;x
EVTDESCca.12d;[Root.GetTitledName] has ascended to the throne of the Bengal Empire while being a [Root.Culture.GetName], earning the achievement §YBeyond the Indus§!!;;;;;;;x
EVTDESCca.13a;[Root.GetTitledName] rules the Empire of Rajastan as a Muslim, and all de jure vassals within its borders are also Muslim, earning the achievement §YGreat Indian Sultanate§!!;;;;;;;x
EVTDESCca.13b;[Root.GetTitledName] rules the Empire of India as a Muslim, and all de jure vassals within its borders are also Muslim, earning the achievement §YGreat Indian Sultanate§!!;;;;;;;x
EVTDESCca.14;[Root.GetTitledName] rules a kingdom or empire in India as a Christian, and all de jure vassals within its borders are also Christian, earning the achievement §YSt. Thomas' Dream§!!;;;;;;;x
