#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** IRISH **;;;;;;;;;;;;;;
emperor_female_irish; Banimpire;Banimpire;Banimpire;;Banimpire;;;;;;;;;x
emperor_title_ruler_consort_irish;Fer céile banimpire;Fer céile banimpire;Fer céile banimpire;;fer céile banimpire;;;;;;;;;x
emperor_title_ruler_consort_female_irish;Ben chéile Impire; Ben chéile Impire; Ben chéile Impire;; Ben chéile Impire;;;;;;;;;x
emperor_title_queen_mother_female_irish;Ríganmháthair Impire; Ríganmháthair Impire; Ríganmháthair Impire;; Ríganmháthair Impire;;;;;;;;;x
city_emperor_irish;Mór-Phrionnsa;Mór-Phrionnsa;Mór-Phrionnsa;;Mór-Phrionnsa;;;;;;;;;x
empire_of_irish;Imperdacht;Imperdacht;Imperdacht;;Imperdacht;;;;;;;;;x
king_female_irish;Ardrígan;Ardrígan;Ardrígan;;Ardrígan;;;;;;;;;x
duke_female_irish;Rígan;Rígan;Rígan;;Rígan;;;;;;;;;x
title_regent_irish;Airrí;Airrí;Airrí;;Airrí;;;;;;;;;x
title_ruler_consort_irish;Fer céile;Fer céile;Fer céile;;Fer céile;;;;;;;;;x
title_ruler_consort_female_irish;Ben chéile;Ben chéile;Ben Chéile;;Ben chéile;;;;;;;;;x
title_queen_mother_irish;Ríganmháthair;Ríganmháthair;Ríganmháthair;; Ríganmháthair;;;;;;;;;x
title_prince_irish;Prionnsa;Prionnsa;Prionnsa;;Prionnsa;;;;;;;;;x
title_prince_female_irish;Banphrionnsa;Banphrionnsa;Banphrionnsa;;Banphrionnsa;;;;;;;;;x
city_king_irish;Rímhéra;Rímhéra;Rímhéra;;Rímhéra;;;;;;;;;x
city_duke_irish;Mórmhéra;Mórmhéra;Mórmhéra;;Mórmhéra;;;;;;;;;x
#duchy_of_irish;Rígacht;Rígacht;Rígacht;;Rígacht;;;;;;;;;x
count_female_irish;Bantaísech;Bantaísech;Bantaísech;;Bantaísech;;;;;;;;;x
count_title_ruler_consort_irish;Fer céile bantaísig;Fer céile bantaísig;Fer céile bantaísig;; Fer céile bantaísig;;;;;;;;;x
count_title_ruler_consort_female_irish;Ben chéile Taísig;Ben chéile Taísig;Ben chéile Taísig;;Ben chéile Taísig;;;;;;;;;x
city_count_irish;Ardméra;Ardméra;Ardméra;;Ardméra;;;;;;;;;x
baron_female_irish;Banfhlaith;Banfhlaith;Banfhlaith;;Banfhlaith;;;;;;;;;x
baron_title_ruler_consort_irish;Fer céile banfhlatha; Fer céile banfhlatha; Fer céile banfhlatha;; Fer céile banfhlatha;;;;;;;;;x
baron_title_ruler_consort_female_irish; Ben chéile flatha;Ben chéile flatha; Ben chéile flatha;; Ben chéile flatha;;;;;;;;;x
emperor_king_christian_irish;Impire;Impire;Impire;;Impire;;;;;;;;;x
temple_king_catholic_irish;Rí-Easpag;Rí-Easpag;Rí-Easpag;;Rí-Easpag;;;;;;;;;x
temple_king_orthodox_irish;Rí-Easpag;Rí-Easpag;Rí-Easpag;;Rí-Easpag;;;;;;;;;x
temple_duke_catholic_irish;Prionnsa-Ardeaspag;Prionnsa-Ardeaspag;Prionnsa-Ardeaspag;;Prionnsa-Ardeaspag;;;;;;;;;x
temple_duke_orthodox_irish;Prionnsa-Ardeaspag;Prionnsa-Ardespog;Prionnsa-Ardespog;;Prionnsa-Ardespog;;;;;;;;;x
temple_count_catholic_irish;Prionnsa-Espog;Prionnsa-Espog;Prionnsa-Espog;;Prionnsa-Espog;;;;;;;;;x
temple_count_orthodox_irish; Prionnsa-Espog; Prionnsa-Espog; Prionnsa-Espog;; Prionnsa-Espog;;;;;;;;;x
temple_baron_christian_irish;Espog;Espog;Espog;;Espig;;;;;;;;;x
city_empire_of_irish;Prionnsacht;Prionnsacht;Prionnsacht;;Prionnsacht;;;;;;;;;x
city_kingdom_of_irish;Poblacht;Poblacht;Poblacht;;Poblacht;;;;;;;;;x
city_duchy_of_irish;Poblacht;Poblacht;Poblacht;;Poblacht;;;;;;;;;x
city_county_of_irish;MórChathair;MórChathair;MórChathair;;MórChathair;;;;;;;;;x
#city_barony_of_irish;Cathair;Cathair;Cathair;;Cathair;;;;;;;;;x
job_chancellor_irish;Fer légenn;Fer légenn;Fer légenn;;Fer légenn;;;;;;;;;x
job_marshal_irish;Tuaircnid catha;Tuaircnid catha; Tuaircnid catha;; Tuaircnid catha;;;;;;;;;x
job_spymaster_irish;Fer fairgsi;Fer fairgsi;Fer fairgsi;;Fer fairgsi;;;;;;;;;x
job_treasurer_irish;Scrínire;Scrínire; Scrínire;; Scrínire;;;;;;;;;x
job_spiritual_irish;Sagart méise;Sagart méise;Sagart méise;;Sagart méise;;;;;;;;;x
job_viceroy_irish;Leithrí;Leithrí;Leithrí;;Leithrí;;;;;;;;;x
city_baron_irish;Méra;;;;;;;;;;;;;x
temple_baron_irish_pagan;Druí;;;;;;;;;;;;;x
baron_irish;Flaith;;;;;;;;;;;;;x
count_irish;Taísech;;;;;;;;;;;;;x
duke_irish;Rí;;;;;;;;;;;;;x
king_irish;Ard-Rí;;;;;;;;;;;;;x
emperor_irish;Impire;;;;;;;;;;;;;x
barony_of_irish;Túath;;;;;;;;;;;;;x
city_barony_of_irish;Cathair;;;;;;;;;;;;;x
temple_barony_of_irish;Deoise;;;;;;;;;;;;;x
county_of_irish;Trícha cét;;;;;;;;;;;;;x
duchy_of_irish;Rígacht;Rígacht;Rígacht;;Rígacht;;;;;;;;;;;;;x
kingdom_of_irish;ArdRíghacht;;;;;;;;;;;;;x
