#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Event Modifiers;;;;;;;;;;;;;;
nm_norse_homosexuality;Homosexuality: Norse;;;;;;;;;;;;;x
nm_norse_homosexuality_desc;As long as you're tough enough to be on top, why should your vassals care?;;;;;;;;;;;;;x
nm_norse_celibate;Celibate: Norse;;;;;;;;;;;;;x
nm_norse_celibate_desc;People still wonder if something is wrong with you...;;;;;;;;;;;;;x
nm_norse_hedonist;Hedonist: Norse;;;;;;;;;;;;;x
nm_norse_hedonist_desc;Drink, love and be merry, for Ragnarok awaits!;;;;;;;;;;;;;x
nm_norse_lustful;Lustful: Norse;;;;;;;;;;;;;x
nm_norse_lustful_desc;Who could think there's anything wrong with lust?;;;;;;;;;;;;;x
nm_norse_chaste;Chaste: Norse;;;;;;;;;;;;;x
nm_norse_chaste_desc;Don't expect to be considered holy just because you dislike sex.;;;;;;;;;;;;;x
nm_norse_gluttonous;Gluttonous: Norse;;;;;;;;;;;;;x
nm_norse_gluttonous_desc;Drink and be merry, for Ragnarok awaits!;;;;;;;;;;;;;x
nm_norse_content;Content: Norse;;;;;;;;;;;;;x
nm_norse_content_desc;It is fine to be content with your lot in life. But don't expect anyone to think Odin likes you more for it.;;;;;;;;;;;;;x
nm_norse_brave;Brave: Norse;;;;;;;;;;;;;x
nm_norse_brave_desc;Courage and bravery in battle is the road to Valhalla!;;;;;;;;;;;;;x
nm_norse_craven;Craven: Norse;;;;;;;;;;;;;x
nm_norse_craven_desc;Cowards are better than nidings and traitors. Barely.;;;;;;;;;;;;;x
nm_norse_strong;Strong: Norse;;;;;;;;;;;;;x
nm_norse_strong_desc;Everyone respects strength!;;;;;;;;;;;;;x
nm_norse_weak;Weak: Norse;;;;;;;;;;;;;x
nm_norse_weak_desc;Even the monks can best you in a fight! Pathetic!;;;;;;;;;;;;;x
nm_norse_charitable;Charitable: Norse;;;;;;;;;;;;;x
nm_norse_charitable_desc;All men can see your great showing of hospitality.;;;;;;;;;;;;;x
#Events;;;;;;;;;;;;;;
EVTDESC350000;The Norse care not for who you choose to sleep with, as long as you're not weak about it.;;;;;;;;;;;;;x
EVTOPTA350000;Pffh, I'm man enough to sleep with other men!;;;;;;;;;;;;;x
EVTDESC350001;You... don't want to have sex? Ever? Odd...;;;;;;;;;;;;;x
EVTOPTA350001;It is my choice!;;;;;;;;;;;;;x
EVTOPTB350001;You might have a point...;;;;;;;;;;;;;x
EVTDESC350002;You enjoy life, and no-one faults you for that!;;;;;;;;;;;;;x
EVTOPTA350002;More mead! More women!;;;;;;;;;;;;;x
EVTDESC350003;An affair or two won't get the Volva or Seidmenn angry at you.;;;;;;;;;;;;;x
EVTOPTA350003;Thank Odin;;;;;;;;;;;;;x
EVTDESC350004;You don't want to..?;;;;;;;;;;;;;x
EVTOPTA350004;No, not with you.;;;;;;;;;;;;;x
EVTDESC350005;A whole pig and two chickens in one meal... you're the talk of town!;;;;;;;;;;;;;x
EVTOPTA350005;And tomorrow it will be two pigs!;;;;;;;;;;;;;x
EVTDESC350006;Some want more. You are not some.;;;;;;;;;;;;;x
EVTOPTA350006;I'm content;;;;;;;;;;;;;x
EVTDESC350007;When you stood in front of the wolf, unflinchingly staring it down, all knew you were brave.;;;;;;;;;;;;;x
EVTOPTA350007;I don't even know what 'fear' means!;;;;;;;;;;;;;x
EVTDESC350008;No norseman can respect someone who runs away from danger.;;;;;;;;;;;;;x
EVTOPTA350008;I don't flee I make a tactical retreat!;;;;;;;;;;;;;x
EVTDESC350009;Being able to lift up two thralls at once truly makes your fellow warriors respect you.;;;;;;;;;;;;;x
EVTOPTA350009;[Root.GetFirstName] smash!;;;;;;;;;;;;;x
EVTDESC350010;As the scrawny monk thrall smashed your fist onto the table while the entire court watched, you knew you wouldn't be able to live it down...;;;;;;;;;;;;;x
EVTOPTA350010;He is stronger than he looks!;;;;;;;;;;;;;x
